10000 10000
1682 7540 6
1587 3422 9
6028 6476 1
215 7864 10
3054 1721 3
3698 8570 5
8380 8576 1
5495 2737 1
8442 1770 5
1209 4662 7
2029 6344 10
1604 7932 2
4385 312 10
9587 6879 4
5976 6285 5
3298 9983 7
4304 4716 3
5264 211 2
9627 5005 5
6973 6214 7
2501 8244 2
5570 6200 6
8413 585 10
4084 6524 1
7619 2500 6
6523 5799 10
6701 6455 8
9104 8072 9
595 4051 5
209 1024 1
838 9877 7
1459 1800 8
2716 6565 5
637 650 10
5437 8269 10
6522 1145 1
3943 7846 9
6080 3302 1
4781 250 2
8487 6811 8
8407 7649 5
9276 5460 7
9993 4528 3
3999 5165 3
8178 602 4
1210 7125 1
6392 1068 8
8030 3501 2
7740 8282 2
7853 6769 6
8990 1528 5
5 804 8
5523 7149 6
1255 1149 2
7637 9327 4
4993 6889 1
3493 3282 10
9840 1312 3
2194 5405 5
8445 3258 6
4212 2249 6
1277 8606 3
6506 4129 2
9911 1737 1
8482 9374 1
4008 719 2
6658 4213 4
6729 405 7
301 2599 4
8507 7397 2
3482 1609 3
2690 9238 1
2702 5744 3
9863 5656 10
4526 490 6
4868 4498 6
2099 1157 9
8965 7886 4
791 8188 6
726 6695 3
7567 6530 2
9362 9220 1
9762 8274 7
644 4489 3
9615 5367 4
7961 6587 4
7026 8687 1
6656 7652 8
339 4795 8
2974 5521 5
9358 9440 5
7352 8802 7
4584 4917 3
7560 1913 3
6193 1529 10
1668 9490 8
1641 2868 7
9124 9524 1
4493 9863 8
8050 9190 1
1006 4900 3
493 2252 8
9199 6836 5
8884 749 8
6706 6942 9
6247 4962 9
2376 2955 9
7192 2079 3
2364 6572 9
2331 4622 9
523 5629 1
8156 2474 6
943 1673 2
8647 557 1
4616 3615 5
2115 9863 9
5455 2239 5
1664 5784 4
3748 8148 7
5696 6832 1
3186 7355 2
5577 5511 6
6572 6454 2
755 1453 1
5688 2422 7
7562 889 2
7103 2696 3
3247 712 7
1470 4461 8
6266 157 10
8389 3344 5
6140 5273 9
2718 1845 5
969 8952 9
6129 4640 3
1257 8555 2
2600 5658 8
6183 8905 1
1901 6727 2
2120 9346 9
2819 7735 5
7226 227 8
3496 2945 3
6220 266 6
6750 2748 8
9702 4005 3
3543 2958 3
81 5493 8
7331 3746 6
5394 5867 2
7262 5038 9
5179 2264 6
2016 5760 4
7051 8333 10
1038 5083 8
9665 4786 6
3200 8329 4
2392 8410 9
490 2093 5
1667 7487 2
2190 1102 1
448 6281 7
5285 4649 8
3068 1700 3
1118 2738 6
1915 2404 2
3070 1956 2
3535 4348 4
9493 1190 10
9198 9209 9
1121 1399 1
1731 8199 4
958 3485 6
2297 6553 6
1969 4023 5
6724 5939 1
2618 5361 7
489 5249 7
3122 4742 8
553 292 7
5472 1414 9
7844 3145 8
2850 455 3
2505 9104 9
3860 7425 2
4306 502 3
3508 3120 5
4666 3609 4
173 3083 8
6870 3637 1
9128 5461 7
2786 3305 2
4644 6155 10
6338 8660 6
4586 8873 2
3210 3179 4
7772 6688 6
7696 1354 7
9221 7879 10
1841 1101 9
8401 230 2
2727 9368 8
6550 4012 3
7181 6703 6
6917 1289 9
430 4499 10
4445 8624 10
1580 2672 7
8676 8246 6
5207 87 8
1728 4840 10
3709 3919 8
5348 6821 3
6791 4003 6
9598 7272 5
1278 4054 7
6137 8499 3
4037 6431 5
9643 1459 1
9480 6666 8
4067 4746 8
1588 4808 7
2126 156 1
3028 3299 4
633 2897 8
5879 4175 2
1977 313 3
6699 702 4
446 345 5
6086 6177 1
8166 6597 10
5085 8185 8
5924 311 4
3584 9691 4
5247 324 1
6886 2556 9
6227 4533 2
6771 7585 6
3746 8031 3
2180 469 10
3632 8635 7
9831 3721 3
838 9645 6
8354 3229 8
2817 4828 4
6529 1714 10
4417 4293 6
8970 1064 1
4225 4810 4
2529 3342 3
659 6974 9
1737 6806 10
1001 3996 7
577 2350 6
6196 1519 4
8491 8049 8
6991 8818 3
2728 4141 7
6050 4718 9
7403 7248 1
5577 7907 7
6035 9644 5
6566 6998 2
6742 7575 4
6499 123 6
4732 8614 7
1031 1957 5
1623 1037 8
9631 7087 7
8801 842 5
4961 6420 4
800 8807 10
3444 1726 8
6437 8468 5
1781 4968 10
